0	0
1	19.3116
2	38.6232
3	43.4511
4	57.9348
5	75.6371
6	93.3394
7	111.0417
8	123.9161
9	133.5719
10	120.6975
11	115.8696
12	104.6045
13	106.2138
14	111.0417
15	122.3068
16	131.9626
17	131.9626
18	135.1812
19	138.3998
20	122.3068
21	111.0417
22	101.3859
23	102.9952
24	104.6045
25	117.4789
26	122.3068
27	141.6184
28	149.6649
29	156.1021
30	160.93
31	167.3672
32	156.1021
33	149.6649
34	133.5719
35	120.6975
36	120.6975
37	123.9161
38	131.9626
39	135.1812
40	140.0091
41	148.0556
42	156.1021
43	159.3207
44	162.5393
45	167.3672
46	173.8044
47	160.93
48	127.1347
49	104.6045
50	88.5115
51	85.2929
52	82.0743
53	83.6836
54	102.9952
55	111.0417
56	123.9161
57	127.1347
58	133.5719
59	143.2277
60	156.1021
61	167.3672
62	177.023
63	165.7579
64	157.7114
65	119.0882
66	90.1208
67	74.0278
68	69.1999
69	62.7627
70	65.9813
71	75.6371
72	85.2929
73	86.9022
74	94.9487
75	109.4324
76	128.744
77	128.744
78	130.3533
79	135.1812
80	141.6184
81	143.2277
82	157.7114
83	160.93
84	162.5393
85	164.1486
86	144.837
87	80.465
88	75.6371
89	70.8092
90	65.9813
91	64.372
92	69.1999
93	83.6836
94	94.9487
95	111.0417
96	125.5254
97	128.744
98	133.5719
99	143.2277
100	151.2742
101	159.3207
102	164.1486
103	148.0556
104	140.0091
105	64.372
106	91.7301
107	80.465
108	74.0278
109	65.9813
110	72.4185
111	78.8557
112	90.1208
113	101.3859
114	111.0417
115	123.9161
116	135.1812
117	140.0091
118	144.837
119	152.8835
120	156.1021
